('16:45:31', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:32', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:32', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:33', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:33', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:34', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:34', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:45:35', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:04', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:04', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:05', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:05', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:06', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:06', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:07', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:07', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:08', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:08', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:09', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:09', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:10', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:10', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:11', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:11', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:12', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:12', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:13', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:13', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:14', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:15', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:15', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:16', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:16', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:17', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:17', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:18', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:18', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:19', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:19', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:20', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:20', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:21', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:21', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:22', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:22', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:53', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:53', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:54', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:54', 0.01, 0.0, 0.02, 36.3, 19.0)
('16:46:55', 0.01, 0.0, 0.02, 36.3, 19.0)
